Member_number,itemDescription
4924,rolls/buns
4924,sausage
4924,cereals
4924,specialty bar
4924,butter
4924,chewing gum
4922,packaged fruit/vegetables
4922,sausage
4922,beef
4922,butter
4922,margarine
4922,whole milk
4922,other vegetables
4922,ice cream
4922,bottled water
4919,root vegetables
4919,hard cheese
4919,salty snack
4919,pastry
4919,chicken
4919,citrus fruit
4919,curd
4918,rolls/buns
4918,fruit/vegetable juice
4918,yogurt
4918,spices
4918,canned fish
4917,pastry
4917,pip fruit
4917,pork
4917,frankfurter
4917,bottled beer
4917,rolls/buns
4916,other vegetables
4916,detergent
4916,hamburger meat
4916,brown bread
4916,pork
4916,whole milk
4916,frozen vegetables
4916,grapes
4916,liquor
4916,coffee
4916,canned beer
4915,frozen vegetables
4915,rolls/buns
4915,canned beer
4915,dessert
4915,whole milk
4915,other vegetables
4915,onions
4915,processed cheese
4915,domestic eggs
4915,sausage
4915,berries
4915,bottled water
4915,sliced cheese
4915,yogurt
4914,frankfurter
4914,rolls/buns
4914,pip fruit
4914,whole milk
4914,root vegetables
4914,beef
4914,chocolate marshmallow
4914,pastry
4913,whipped/sour cream
4913,other vegetables
4913,beverages
4913,onions
4913,brown bread
4913,rolls/buns
4909,domestic eggs
4909,spread cheese
4909,bottled water
4909,tropical fruit
4909,hamburger meat
4908,UHT-milk
4908,tropical fruit
4908,kitchen towels
4908,soda
4908,flour
4908,coffee
4907,whole milk
4907,whipped/sour cream
4907,rolls/buns
4907,bottled beer
4907,citrus fruit
4905,other vegetables
4905,berries
4904,frozen vegetables
4904,packaged fruit/vegetables
4903,chicken
4903,whipped/sour cream
4903,curd
4903,rolls/buns
4903,sausage
4903,salty snack
4903,hard cheese
4903,fruit/vegetable juice
4902,rolls/buns
4902,whole milk
4902,salty snack
4902,UHT-milk
4902,butter
4902,other vegetables
4901,snack products
4901,other vegetables
4901,fruit/vegetable juice
4901,pastry
4901,pasta
4901,whole milk
4901,frozen meals
4901,frankfurter
4900,root vegetables
4900,pickled vegetables
4900,whole milk
4900,chicken
4899,other vegetables
4899,rolls/buns
4899,root vegetables
4899,chicken
4899,pot plants
4899,salt
4899,hamburger meat
4898,tropical fruit
4898,margarine
4898,flour
4898,sausage
4898,bottled beer
4896,other vegetables
4896,flour
4896,root vegetables
4896,whipped/sour cream
4896,red/blush wine
4896,tropical fruit
4896,sugar
4892,other vegetables
4892,pork
4892,citrus fruit
4892,curd
4892,cat food
4892,herbs
4892,frozen vegetables
4892,spices
4892,soda
4891,soda
4891,specialty bar
4891,curd
4891,chicken
4891,whole milk
4891,cream cheese
4891,rolls/buns
4891,butter
4890,rolls/buns
4890,whole milk
4890,other vegetables
4890,ham
4890,sugar
4890,fruit/vegetable juice
4890,condensed milk
4890,margarine
4890,meat
4890,brown bread
4887,soap
4887,soda
4887,herbs
4887,chocolate
4885,whole milk
4885,whipped/sour cream
4884,other vegetables
4884,coffee
4883,frozen fish
4883,ham
4883,berries
4883,UHT-milk
4883,other vegetables
4883,ice cream
4883,shopping bags
4883,whole milk
4882,whipped/sour cream
4882,tropical fruit
4882,pickled vegetables
4882,fruit/vegetable juice
4879,fruit/vegetable juice
4879,dessert
4879,meat
4879,bottled beer
4879,butter milk
4879,root vegetables
4879,yogurt
4879,other vegetables
4875,flour
4875,chocolate
4875,detergent
4875,grapes
4875,tropical fruit
4875,citrus fruit
4875,frozen potato products
4875,bottled beer
4875,misc. beverages
4875,brown bread
4875,cream cheese
4875,frankfurter
4875,salt
4875,cat food
4875,dessert
4875,whole milk
4875,rolls/buns
4875,pickled vegetables
4875,frozen vegetables
4875,roll products
4875,bottled water
4875,other vegetables
4875,pip fruit
4875,pastry
4875,red/blush wine
4874,beef
4874,dessert
4874,napkins
4874,bottled water
4870,hamburger meat
4870,bottled beer
4870,onions
4870,root vegetables
4870,bottled water
4870,soda
4867,detergent
4867,rolls/buns
4867,salty snack
4867,whole milk
4867,butter
4867,berries
4867,beef
4867,frozen fish
4865,whipped/sour cream
4865,chocolate
4865,other vegetables
4865,grapes
4865,berries
4863,sugar
4863,dessert
4863,herbs
4863,curd
4860,rolls/buns
4860,bottled water
4860,sugar
4860,shopping bags
4860,fruit/vegetable juice
4860,soda
4860,citrus fruit
4860,specialty bar
4860,pastry
4860,cream cheese
4859,pork
4859,soda
4859,curd
4859,whole milk
4859,beef
4859,whipped/sour cream
4859,other vegetables
4857,whole milk
4857,citrus fruit
4857,tropical fruit
4857,misc. beverages
4856,tropical fruit
4856,beverages
4856,pasta
4856,hygiene articles
4856,root vegetables
4856,specialty bar
4856,sugar
4856,domestic eggs
4851,chocolate
4851,turkey
4851,spread cheese
4851,sausage
4851,grapes
4851,whole milk
4851,packaged fruit/vegetables
4851,frozen vegetables
4851,pip fruit
4851,tropical fruit
4851,bottled beer
4851,coffee
4851,herbs
4850,packaged fruit/vegetables
4850,red/blush wine
4850,other vegetables
4850,pastry
4848,canned beer
4848,pork
4848,mustard
4848,tropical fruit
4848,rolls/buns
4847,other vegetables
4847,rolls/buns
4847,margarine
4847,sliced cheese
4847,shopping bags
4847,frankfurter
4847,whole milk
4847,soda
4847,canned beer
4838,brown bread
4838,soda
4838,frankfurter
4838,frozen vegetables
4838,yogurt
4838,cream cheese
4838,honey
4836,salty snack
4836,detergent
4836,pork
4836,other vegetables
4836,whole milk
4836,curd
4836,ham
4836,bottled beer
4836,whipped/sour cream
4836,sausage
4836,specialty chocolate
4836,sliced cheese
4836,cream cheese
4836,chocolate
4836,soda
4834,frankfurter
4834,dessert
4833,pip fruit
4833,onions
4833,whole milk
4833,domestic eggs
4833,rolls/buns
4830,citrus fruit
4830,oil
4830,whole milk
4830,ice cream
4830,dish cleaner
4830,bottled beer
4830,soda
4830,waffles
4828,shopping bags
4828,salty snack
4828,canned beer
4828,salt
4828,frozen dessert
4828,root vegetables
4828,oil
4828,dessert
4828,rolls/buns
4828,frozen vegetables
4828,margarine
4828,beef
4828,cream cheese
4828,soda
4828,whole milk
4828,sparkling wine
4828,fruit/vegetable juice
4828,pork
4821,grapes
4821,rolls/buns
4821,tropical fruit
4821,shopping bags
4821,yogurt
4821,cream cheese
4821,domestic eggs
4821,mustard
4821,beverages
4821,white bread
4821,whole milk
4818,pastry
4818,sliced cheese
4818,roll products
4818,white bread
4818,salt
4818,other vegetables
4818,canned beer
4818,pip fruit
4816,other vegetables
4813,beverages
4813,pastry
4813,citrus fruit
4813,specialty chocolate
4813,rolls/buns
4813,soda
4813,bottled water
4811,butter milk
4811,pet care
4811,rolls/buns
4811,canned beer
4811,bottled water
4810,chicken
4810,bottled beer
4808,semi-finished bread
4808,soap
4808,meat
4808,whole milk
4808,yogurt
4808,margarine
4808,beverages
4808,domestic eggs
4808,fish
4805,rolls/buns
4805,other vegetables
4805,whole milk
4803,canned beer
4803,root vegetables
4803,whole milk
4803,pickled vegetables
4803,white bread
4803,bottled water
4802,tropical fruit
4801,beverages
4801,whole milk
4801,misc. beverages
4801,dishes
4801,butter milk
4796,frankfurter
4796,white bread
4796,rolls/buns
4796,whole milk
4796,curd
4796,chicken
4796,flour
4796,curd cheese
4796,beef
4796,other vegetables
4796,soda
4795,sausage
4795,sliced cheese
4793,pastry
4793,soda
4793,sausage
4793,root vegetables
4793,pork
4793,bottled water
4793,yogurt
4793,specialty chocolate
4793,ice cream
4792,UHT-milk
4792,turkey
4792,bottled water
4789,whole milk
4789,specialty cheese
4789,shopping bags
4789,curd
4789,margarine
4789,beef
4789,ice cream
4789,domestic eggs
4789,liquor
4788,other vegetables
4788,whipped/sour cream
4788,butter milk
4788,beef
4788,yogurt
4788,whole milk
4788,fruit/vegetable juice
4788,soda
4788,shopping bags
4788,candy
4787,cat food
4787,frozen vegetables
4787,cling film/bags
4787,sausage
4787,fruit/vegetable juice
4787,rolls/buns
4787,pork
4787,UHT-milk
4787,whole milk
4787,beef
4784,butter
4784,soft cheese
4784,root vegetables
4784,napkins
4784,coffee
4783,chocolate
4783,sausage
4783,other vegetables
4783,hamburger meat
4783,bottled beer
4783,yogurt
4783,chewing gum
4783,whole milk
4783,UHT-milk
4783,cling film/bags
4783,curd
4783,whipped/sour cream
4783,rolls/buns
4783,rice
4783,kitchen towels
4783,coffee
4783,beef
4782,pickled vegetables
4782,margarine
4782,rolls/buns
4782,berries
4782,domestic eggs
4782,whole milk
4782,processed cheese
4782,canned beer
4781,cream cheese
4781,beverages
4781,sausage
4781,sugar
4781,ham
4779,dessert
4779,sauces
4779,pip fruit
4779,whipped/sour cream
4779,specialty bar
4779,pastry
4779,condensed milk
4779,root vegetables
4779,sausage
4779,chewing gum
4779,specialty chocolate
4779,pot plants
4779,citrus fruit
4779,other vegetables
4775,yogurt
4775,whole milk
4774,whipped/sour cream
4774,pip fruit
4774,red/blush wine
4774,sausage
4772,tropical fruit
4772,rolls/buns
4772,whipped/sour cream
4772,yogurt
4772,frozen vegetables
4772,sauces
4772,curd
4772,soda
4772,whole milk
4771,citrus fruit
4771,chewing gum
4771,other vegetables
4771,coffee
4771,meat
4770,root vegetables
4770,soda
4770,roll products
4770,butter
4770,fruit/vegetable juice
4770,pastry
4770,chicken
4769,processed cheese
4769,butter milk
4769,citrus fruit
4769,whipped/sour cream
4769,dishes
4769,sausage
4769,grapes
4769,dessert
4769,soda
4769,napkins
4769,meat
4769,bottled beer
4765,misc. beverages
4765,spread cheese
4765,curd
4765,butter milk
4765,beef
4765,domestic eggs
4765,frankfurter
4764,tropical fruit
4764,brown bread
4764,soda
4764,vinegar
4764,soap
4764,domestic eggs
4764,pip fruit
4764,whipped/sour cream
4762,onions
4762,rolls/buns
4762,pastry
4762,whole milk
4762,pip fruit
4762,yogurt
4762,pork
4762,misc. beverages
4760,grapes
4760,tropical fruit
4760,root vegetables
4760,canned beer
4760,salty snack
4760,whole milk
4760,dessert
4760,curd
4760,pastry
4760,rolls/buns
4760,fruit/vegetable juice
4760,dishes
4760,semi-finished bread
4760,butter
4760,bottled water
4760,other vegetables
4759,other vegetables
4759,beef
4759,root vegetables
4759,chewing gum
4759,ham
4759,artif. sweetener
4759,frankfurter
4759,frozen vegetables
4759,domestic eggs
4759,margarine
4758,butter
4758,spices
4758,white bread
4758,root vegetables
4758,bottled beer
4758,pip fruit
4758,rolls/buns
4758,fruit/vegetable juice
4758,pasta
4755,canned beer
4755,rolls/buns
4755,baking powder
4752,liver loaf
4752,yogurt
4752,pip fruit
4752,frozen dessert
4752,UHT-milk
4752,dessert
4752,meat
4752,whipped/sour cream
4750,flour
4750,shopping bags
4750,whipped/sour cream
4750,butter
4750,brown bread
4750,yogurt
4750,hard cheese
4750,pork
4749,mustard
4749,root vegetables
4749,tropical fruit
4749,dessert
4749,finished products
4749,detergent
4748,fruit/vegetable juice
4748,whole milk
4748,rolls/buns
4748,yogurt
4748,root vegetables
4748,soda
4748,napkins
4748,other vegetables
4748,pork
4748,chicken
4744,citrus fruit
4744,whole milk
4744,hamburger meat
4744,brown bread
4744,yogurt
4744,onions
4744,salty snack
4744,other vegetables
4744,fruit/vegetable juice
4744,candy
4744,frankfurter
4744,soda
4743,nuts/prunes
4743,napkins
4743,whole milk
4743,bottled beer
4743,soda
4743,sausage
4743,coffee
4743,chocolate marshmallow
4743,UHT-milk
4743,other vegetables
4743,pastry
4743,domestic eggs
4742,ham
4742,ready soups
4742,coffee
4742,canned fish
4742,hygiene articles
4742,oil
4742,beverages
4742,soda
4742,hard cheese
4742,tropical fruit
4742,citrus fruit
4742,pastry
4742,meat
4742,white wine
4741,sausage
4741,chewing gum
4741,frozen vegetables
4741,fruit/vegetable juice
4741,ice cream
4741,onions
4741,whole milk
4741,chicken
4741,waffles
4741,butter
4741,beef
4741,other vegetables
4741,finished products
4739,flour
4739,soda
4739,onions
4739,yogurt
4738,whole milk
4738,grapes
4738,sausage
4738,other vegetables
4738,bottled beer
4736,UHT-milk
4736,curd
4736,seasonal products
4736,onions
4736,butter
4736,beef
4736,yogurt
4736,soda
4736,pastry
4736,other vegetables
4735,hamburger meat
4735,honey
4735,sliced cheese
4735,curd
4735,specialty chocolate
4735,whole milk
4735,brown bread
4735,frozen fish
4735,pet care
4735,bottled water
4735,rolls/buns
4733,nuts/prunes
4733,bottled beer
4733,other vegetables
4733,pip fruit
4733,beef
4733,soda
4733,curd cheese
4733,shopping bags
4732,napkins
4732,soda
4731,candy
4731,napkins
4731,sliced cheese
4731,rolls/buns
4731,yogurt
4729,fruit/vegetable juice
4729,whole milk
4729,butter
4729,frozen vegetables
4729,salt
4729,shopping bags
4727,other vegetables
4727,yogurt
4727,whole milk
4727,bottled water
4727,root vegetables
4727,beverages
4727,rolls/buns
4727,frankfurter
4726,whole milk
4726,chicken
4726,rolls/buns
4726,tropical fruit
4726,other vegetables
4725,cat food
4725,rolls/buns
4725,soft cheese
4725,white bread
4725,whole milk
4725,shopping bags
4725,butter milk
4725,other vegetables
4725,brown bread
4722,tropical fruit
4722,yogurt
4722,sausage
4722,whole milk
4722,hamburger meat
4722,other vegetables
4722,bottled water
4722,hygiene articles
4722,frozen dessert
4721,other vegetables
4721,sausage
4721,semi-finished bread
4721,rolls/buns
4721,canned vegetables
4721,bottled water
4721,rum
4721,margarine
4721,spices
4721,tropical fruit
4721,fruit/vegetable juice
4721,grapes
4721,processed cheese
4721,specialty bar
4721,pastry
4721,cream cheese
4721,canned beer
4719,tropical fruit
4719,whole milk
4719,coffee
4719,pasta
4719,detergent
4719,chocolate
4719,yogurt
4719,fruit/vegetable juice
4719,pip fruit
4719,specialty bar
4719,other vegetables
4719,frankfurter
4718,salty snack
4718,other vegetables
4718,curd
4718,pork
4718,margarine
4718,hygiene articles
4718,sausage
4718,citrus fruit
4718,bottled water
4718,frankfurter
4711,whole milk
4711,yogurt
4711,napkins
4711,pastry
4711,frankfurter
4711,other vegetables
4711,domestic eggs
4707,fruit/vegetable juice
4707,soda
4707,root vegetables
4707,whole milk
4706,frozen meals
4706,sausage
4706,chocolate
4706,cream cheese
4706,whole milk
4703,soda
4703,yogurt
4702,grapes
4702,brown bread
4702,dessert
4702,whole milk
4702,other vegetables
4702,pot plants
4702,kitchen towels
4701,pasta
4701,popcorn
4701,whole milk
4701,soda
4701,pip fruit
4699,sauces
4699,hamburger meat
4699,pasta
4699,seasonal products
4699,rolls/buns
4699,red/blush wine
4699,misc. beverages
4699,whole milk
4699,curd
4699,frankfurter
4699,cat food
4699,root vegetables
4699,coffee
4699,soda
4699,sausage
4693,female sanitary products
4693,bottled beer
4693,margarine
4693,whipped/sour cream
4693,root vegetables
4693,shopping bags
4693,whole milk
4693,other vegetables
4693,fruit/vegetable juice
4693,butter
4693,frankfurter
4693,canned beer
4693,onions
4693,domestic eggs
4693,pastry
4690,rolls/buns
4690,salty snack
4690,chicken
4690,sliced cheese
4690,butter
4690,condensed milk
4690,whole milk
4686,sausage
4686,chocolate
4686,whipped/sour cream
4686,citrus fruit
4686,other vegetables
4686,yogurt
4686,tropical fruit
4686,rolls/buns
4686,whole milk
4686,margarine
4685,waffles
4685,hard cheese
4685,rolls/buns
4685,yogurt
4685,pip fruit
4685,tropical fruit
4685,hamburger meat
4685,root vegetables
4685,berries
4685,pet care
4685,soft cheese
4685,sugar
4685,whole milk
4685,pickled vegetables
4685,hygiene articles
4683,frankfurter
4683,coffee
4683,pot plants
4683,cling film/bags
4683,hard cheese
4683,red/blush wine
4683,rolls/buns
4683,root vegetables
4683,UHT-milk
4683,chicken
4683,domestic eggs
4683,whipped/sour cream
4683,flour
4683,specialty chocolate
4683,specialty bar
4683,tropical fruit
4683,curd cheese
4683,soda
4683,oil
4682,sausage
4682,other vegetables
4682,coffee
4682,citrus fruit
4682,root vegetables
4679,pastry
4679,pork
4679,beef
4679,waffles
4679,shopping bags
4679,pip fruit
4679,frankfurter
4679,whipped/sour cream
4679,detergent
4679,tropical fruit
4679,bottled water
4679,chicken
4679,white wine
4679,other vegetables
4679,salty snack
4677,salt
4677,butter
4677,frankfurter
4677,detergent
4677,whole milk
4677,rolls/buns
4676,rolls/buns
4676,domestic eggs
4676,other vegetables
4676,whole milk
4676,sausage
4676,hygiene articles
4676,shopping bags
4676,margarine
4676,frankfurter
4675,fruit/vegetable juice
4675,pip fruit
4675,yogurt
4675,coffee
4675,pastry
4675,rolls/buns
4675,other vegetables
4675,citrus fruit
4668,chicken
4668,frozen vegetables
4668,other vegetables
4668,waffles
4665,soda
4665,cake bar
4665,whole milk
4665,shopping bags
4665,cat food
4665,rolls/buns
4665,sausage
4664,root vegetables
4664,waffles
4664,frozen vegetables
4664,rolls/buns
4664,beef
4664,bottled water
4664,citrus fruit
4659,whole milk
4659,grapes
4659,soda
4659,root vegetables
4659,white wine
4659,sliced cheese
4659,frozen dessert
4659,pasta
4657,snack products
4657,bottled beer
4657,yogurt
4657,flour
4657,processed cheese
4657,pork
4657,chocolate
4657,sausage
4657,red/blush wine
4657,beef
4657,margarine
4657,frozen vegetables
4657,soda
4657,bottled water
4657,oil
4657,rolls/buns
4657,other vegetables
4656,soda
4656,frozen dessert
4656,root vegetables
4656,condensed milk
4656,onions
4656,cat food
4656,frankfurter
4656,liquor
4656,vinegar
4656,coffee
4656,other vegetables
4656,white wine
4656,grapes
4656,hamburger meat
4656,curd
4656,rolls/buns
4656,oil
4653,ice cream
4653,fruit/vegetable juice
4653,yogurt
4653,rolls/buns
4652,hamburger meat
4652,yogurt
4652,hygiene articles
4652,chocolate
4652,frozen fish
4652,butter
4652,baking powder
4652,other vegetables
4652,popcorn
4652,pot plants
4652,butter milk
4652,bottled water
4650,whole milk
4650,shopping bags
4650,rolls/buns
4650,roll products
4650,UHT-milk
4650,curd
4650,pastry
4650,soda
4648,flour
4648,ham
4648,yogurt
4648,instant coffee
4648,bottled water
4648,onions
4648,brown bread
4648,whole milk
4648,whipped/sour cream
4647,soda
4647,meat
4647,hard cheese
4647,fruit/vegetable juice
4646,dishes
4646,bottled water
4646,hamburger meat
4646,other vegetables
4646,candy
4646,UHT-milk
4646,shopping bags
4646,frankfurter
4646,whole milk
4645,oil
4645,fruit/vegetable juice
4645,yogurt
4645,waffles
4645,brown bread
4645,soda
4645,whole milk
4645,bottled beer
4645,chewing gum
4645,other vegetables
4645,baking powder
4645,white bread
4645,domestic eggs
4645,butter
4645,rolls/buns
4645,hamburger meat
4645,tropical fruit
4644,brown bread
4644,other vegetables
4644,misc. beverages
4644,hygiene articles
4643,flour
4643,bottled beer
4643,dessert
4643,sausage
4643,whole milk
4643,other vegetables
4643,bottled water
4643,coffee
4643,ice cream
4643,brown bread
4643,cat food
4643,UHT-milk
4642,shopping bags
4642,rolls/buns
4642,domestic eggs
4640,waffles
4640,pip fruit
4640,rolls/buns
4640,bottled water
4640,shopping bags
4640,domestic eggs
4640,root vegetables
4640,coffee
4639,hygiene articles
4639,butter milk
4635,root vegetables
4635,sugar
4635,yogurt
4635,margarine
4635,butter
4635,whole milk
4635,baking powder
4635,bottled water
4633,chicken
4633,pickled vegetables
4633,soda
4633,citrus fruit
4633,yogurt
4633,brown bread
4633,rolls/buns
4633,bottled water
4633,onions
4633,white bread
4633,ham
4633,tropical fruit
4633,specialty chocolate
4630,grapes
4630,canned fish
4629,whipped/sour cream
4629,yogurt
4629,candy
4629,canned vegetables
4629,shopping bags
4629,sugar
4629,pickled vegetables
4629,fruit/vegetable juice
4629,citrus fruit
4629,whole milk
4628,whole milk
4628,soda
4628,coffee
4628,UHT-milk
4628,bottled beer
4628,berries
4628,specialty chocolate
4628,napkins
4628,bottled water
4628,citrus fruit
4628,fish
4628,butter milk
4628,salty snack
4628,butter
4628,curd
4628,ham
4628,yogurt
4627,specialty chocolate
4627,curd
4627,soft cheese
4627,canned beer
4626,meat
4626,rolls/buns
4626,pastry
4626,root vegetables
4626,canned beer
4625,bottled water
4625,whipped/sour cream
4625,white bread
4625,pasta
4625,sausage
4622,shopping bags
4622,brown bread
4622,bottled water
4622,cream cheese
4622,sliced cheese
4622,chicken
4622,whipped/sour cream
4622,citrus fruit
4620,yogurt
4620,whole milk
4620,semi-finished bread
4620,shopping bags
4620,bottled beer
4620,berries
4620,sausage
4620,other vegetables
4620,root vegetables
4617,brandy
4617,soft cheese
4617,brown bread
4617,bottled water
4617,yogurt
4617,whole milk
4617,coffee
4617,berries
4616,semi-finished bread
4616,condensed milk
4616,other vegetables
4616,root vegetables
4616,hamburger meat
4616,pastry
4616,ice cream
4616,whole milk
4616,canned beer
4616,hard cheese
4615,yogurt
4615,whole milk
4615,grapes
4615,canned fish
4615,frozen potato products
4613,fruit/vegetable juice
4613,packaged fruit/vegetables
4613,shopping bags
4613,brown bread
4613,rolls/buns
4613,pet care
4613,domestic eggs
4613,butter
4613,pork
4612,butter
4612,bottled beer
4612,other vegetables
4612,sausage
4610,candy
4610,sliced cheese
4610,dessert
4610,cream cheese
4610,chocolate
4610,hamburger meat
4610,curd
4610,brown bread
4610,pip fruit
4610,yogurt
4609,herbs
4609,spices
4609,whole milk
4609,beef
4606,fruit/vegetable juice
4606,canned beer
4606,whole milk
4606,pastry
4606,bottled beer
4606,candy
4606,grapes
4606,rolls/buns
4606,salt
4606,dishes
4605,butter
4605,bottled water
4605,pork
4605,frankfurter
4605,yogurt
4605,margarine
4604,specialty chocolate
4604,margarine
4604,soda
4604,other vegetables
4600,margarine
4600,salty snack
4600,baking powder
4600,cat food
4600,domestic eggs
4600,berries
4600,fruit/vegetable juice
4600,beef
4600,whipped/sour cream
4600,root vegetables
4600,whole milk
4598,dish cleaner
4598,other vegetables
4598,beverages
4598,citrus fruit
4598,mustard
4598,brown bread
4598,hygiene articles
4598,whole milk
4598,pickled vegetables
4598,root vegetables
4598,curd
4598,pot plants
4598,yogurt
4598,frankfurter
4598,cream cheese
4596,soda
4596,canned vegetables
4596,white wine
4596,beverages
4596,bottled water
4596,hamburger meat
4596,dessert
4596,hygiene articles
4596,sausage
4596,whole milk
4595,yogurt
4595,frozen meals
4595,white bread
4595,salty snack
4593,hard cheese
4593,frankfurter
4593,cream cheese
4593,whipped/sour cream
4593,margarine
4593,other vegetables
4593,rolls/buns
4593,pickled vegetables
4593,onions
4592,pastry
4592,chocolate
4592,herbs
4592,citrus fruit
4592,tropical fruit
4592,hamburger meat
4592,domestic eggs
4592,canned fish
4592,oil
4592,whole milk
4592,chewing gum
4592,pork
4592,other vegetables
4585,pork
4585,domestic eggs
4585,yogurt
4585,shopping bags
4585,other vegetables
4585,beef
4585,tropical fruit
4585,oil
4585,pastry
4585,soda
4585,beverages
4585,whipped/sour cream
4585,specialty cheese
4585,butter milk
4585,sausage
